contig	S2753
S2753_000000000001_split_00001	231.1371860787028
S2753_000000000001_split_00002	233.33606311794668
S2753_000000000001_split_00003	226.66907884818332
S2753_000000000001_split_00004	227.2036115809372
S2753_000000000001_split_00005	229.88726989888514
S2753_000000000001_split_00006	226.25138755980862
S2753_000000000001_split_00007	225.0645868876432
S2753_000000000001_split_00008	226.63490585557625
S2753_000000000001_split_00009	222.9826577064817
S2753_000000000001_split_00010	218.86863258463094
S2753_000000000001_split_00011	223.00784105960264
S2753_000000000001_split_00012	220.69812289876728
S2753_000000000001_split_00013	226.18947264272288
S2753_000000000001_split_00014	229.58470606810167
S2753_000000000001_split_00015	230.83768047337279
S2753_000000000001_split_00016	223.7653875476493
S2753_000000000001_split_00017	218.81517131315147
S2753_000000000001_split_00018	225.1593668583788
S2753_000000000001_split_00019	226.20880287028146
S2753_000000000001_split_00020	229.74893439584878
S2753_000000000001_split_00021	220.16700357642668
S2753_000000000001_split_00022	219.1644196497753
S2753_000000000001_split_00023	219.87089812135184
S2753_000000000001_split_00024	227.91983037156703
S2753_000000000001_split_00025	227.79639304732243
S2753_000000000001_split_00026	228.6559539574208
S2753_000000000001_split_00027	231.33300109165125
S2753_000000000001_split_00028	234.20077200721877
S2753_000000000001_split_00029	233.06526214986832
S2753_000000000001_split_00030	223.313274241777
S2753_000000000001_split_00031	225.29718273455674
S2753_000000000001_split_00032	226.1144552974716
S2753_000000000001_split_00033	229.40705917844033
S2753_000000000001_split_00034	225.36174339083394
S2753_000000000001_split_00035	227.47621061535207
S2753_000000000001_split_00036	231.19957091553565
S2753_000000000001_split_00037	227.73636857976172
S2753_000000000001_split_00038	230.77318621838242
S2753_000000000001_split_00039	230.58407335907336
S2753_000000000001_split_00040	232.06981463200614
S2753_000000000001_split_00041	226.08958343228994
S2753_000000000001_split_00042	222.60491124541952
S2753_000000000001_split_00043	235.885127522278
S2753_000000000001_split_00044	235.10763923114834
S2753_000000000001_split_00045	231.9761359588867
S2753_000000000001_split_00046	218.24156896801273
S2753_000000000001_split_00047	228.4057028770349
S2753_000000000001_split_00048	226.66510757717492
S2753_000000000001_split_00049	228.19657514859892
S2753_000000000001_split_00050	224.49118273031317
S2753_000000000001_split_00051	228.85260495208445
S2753_000000000001_split_00052	233.13480703986428
S2753_000000000001_split_00053	224.87453604474882
S2753_000000000001_split_00054	224.19098423683198
S2753_000000000001_split_00055	230.90971378589825
S2753_000000000001_split_00056	223.277595574918
S2753_000000000001_split_00057	225.59416909620992
S2753_000000000001_split_00058	229.51033585003904
S2753_000000000001_split_00059	225.47397879025922
S2753_000000000001_split_00060	221.7924706584444
S2753_000000000001_split_00061	224.4816608647394
S2753_000000000001_split_00062	226.5101096224117
S2753_000000000001_split_00063	221.58345435684646
S2753_000000000001_split_00064	221.59173630454967
S2753_000000000001_split_00065	227.52704823689442
S2753_000000000001_split_00066	227.25389518413598
S2753_000000000001_split_00067	225.09187939599627
S2753_000000000001_split_00068	223.09185615546428
S2753_000000000001_split_00069	226.0002924261624
S2753_000000000001_split_00070	224.32319877363312
S2753_000000000001_split_00071	222.34557170687847
S2753_000000000001_split_00072	225.52666970018706
S2753_000000000001_split_00073	227.95932920232124
S2753_000000000002_split_00001	225.93611733749148
S2753_000000000002_split_00002	225.90766198059865
S2753_000000000002_split_00003	229.69341078235615
S2753_000000000002_split_00004	226.343358882313
S2753_000000000002_split_00005	222.95956094742922
S2753_000000000002_split_00006	230.13692016723073
S2753_000000000002_split_00007	225.88431457223743
S2753_000000000002_split_00008	232.79963650653306
S2753_000000000002_split_00009	230.23753577345985
S2753_000000000002_split_00010	223.5527151391206
S2753_000000000002_split_00011	221.93097269624573
S2753_000000000002_split_00012	226.92419123669123
S2753_000000000002_split_00013	228.43846079003697
S2753_000000000002_split_00014	230.16929480901078
S2753_000000000002_split_00015	227.3772178321157
S2753_000000000002_split_00016	225.88371241830066
S2753_000000000002_split_00017	229.64723881684395
S2753_000000000002_split_00018	227.57322091739437
S2753_000000000002_split_00019	233.23517603458924
S2753_000000000002_split_00020	230.09445624879274
S2753_000000000002_split_00021	232.3388786198398
S2753_000000000002_split_00022	226.15718038528897
S2753_000000000002_split_00023	225.07971317910605
S2753_000000000002_split_00024	220.9174975192553
S2753_000000000002_split_00025	231.07414849301642
S2753_000000000002_split_00026	226.70791940018745
S2753_000000000002_split_00027	227.32175273865414
S2753_000000000002_split_00028	220.69860173577626
S2753_000000000002_split_00029	227.88858791070982
S2753_000000000002_split_00030	222.55656242304852
S2753_000000000003_split_00001	222.70604188639444
S2753_000000000003_split_00002	228.24897360703812
S2753_000000000003_split_00003	225.93134944018857
S2753_000000000003_split_00004	219.5736467947119
S2753_000000000003_split_00005	213.3258362640059
S2753_000000000003_split_00006	231.74200782727232
S2753_000000000003_split_00007	229.8835309468429
S2753_000000000003_split_00008	224.74047607313588
S2753_000000000003_split_00009	223.8738342854353
S2753_000000000003_split_00010	227.43851896998325
S2753_000000000003_split_00011	225.43008033323414
