contig	S2754
S2754_000000000001	240.0904579498184
S2754_000000000002	240.9449539476601
S2754_000000000003	244.03014314965156
S2754_000000000004	242.8135885341074
S2754_000000000005	260.09384557884573
S2754_000000000006	245.50737680312199
S2754_000000000007	237.6739395858623
S2754_000000000008	243.06086944080806
S2754_000000000009	243.62030455844982
S2754_000000000010	236.4155337911058
S2754_000000000011	234.0128592277738
S2754_000000000012	240.49829675008928
S2754_000000000013	241.10021278897824
S2754_000000000014	236.41544804837824
S2754_000000000015	229.4466042177442
S2754_000000000016	234.7376541864621
S2754_000000000017	236.12087546092542
S2754_000000000018	239.57877475162962
S2754_000000000019	243.86955926010504
S2754_000000000020	238.41124897837878
S2754_000000000021	232.83403558052436
S2754_000000000022	218.01954477981198
S2754_000000000023	237.2787787787788
S2754_000000000024	224.90661577608142
S2754_000000000025	206.35179549604382
S2754_000000000026	2695.6710273181993
S2754_000000000027	214.44616747895435
S2754_000000000028	222.53871608206487
S2754_000000000029	300.7033285094067
S2754_000000000030	660.1509945750452
S2754_000000000031	2519.2989786443827
