contig	S2052
S2052_000000000001	215.99989076601656
S2052_000000000002	217.26295120522062
S2052_000000000003	215.35401171294237
S2052_000000000004	216.7552938410405
S2052_000000000005	218.87681864794098
S2052_000000000006	215.34685401493593
S2052_000000000007	216.06608957356417
S2052_000000000008	220.81808277027028
S2052_000000000009	347.2556531372567
S2052_000000000010	217.9977516246325
S2052_000000000011	218.64429766515704
S2052_000000000012	211.36423096764685
S2052_000000000013	213.09741245585664
S2052_000000000014	215.88979044925
S2052_000000000015	212.25236320718633
S2052_000000000016	218.50255614911828
S2052_000000000017	215.75642868736523
S2052_000000000018	219.72731571863366
S2052_000000000019	213.16818576116063
S2052_000000000020	217.7469600463231
S2052_000000000021	219.2628237725759
S2052_000000000022	216.71968117492943
S2052_000000000023	217.0179088964842
S2052_000000000024	216.7891022380468
S2052_000000000025	213.203443955882
S2052_000000000026	219.36175134708157
S2052_000000000027	208.48541309144397
S2052_000000000028	206.06217790723727
S2052_000000000029	214.4525927168988
S2052_000000000030	209.43391719745222
S2052_000000000031	2163.682446972026
