sample	contig	copy_number	split	split_num	split_coverage	median_chromosomal_cov
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00001	1	359.96	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00002	2	365.46	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00003	3	345.51	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00004	4	340.99	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00005	5	354.65	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00006	6	335.32	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00007	7	336.93	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00008	8	336.36	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00009	9	327.29	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00010	10	353.92	216.72
S2052	S2052_000000000009	1.6	S2052_000000000009_split_00011	11	360.97	216.72
S2052	S2052_000000000031	9.98	S2052_000000000031_split_00001	1	2163.68	216.72
S2753	S2753_000000000026	11.28	S2753_000000000026_split_00001	1	2547.0	225.86
S2753	S2753_000000000030	10.41	S2753_000000000030_split_00001	1	2351.69	225.86
S2754	S2754_000000000026	11.25	S2754_000000000026_split_00001	1	2695.67	239.58
S2754	S2754_000000000030	2.76	S2754_000000000030_split_00001	1	660.15	239.58
S2754	S2754_000000000031	10.52	S2754_000000000031_split_00001	1	2519.3	239.58
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00001	1	360.29	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00002	2	348.05	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00003	3	353.8	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00004	4	347.43	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00005	5	339.39	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00006	6	345.89	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00007	7	340.57	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00008	8	323.62	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00009	9	338.19	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00010	10	361.97	216.73
S2052ref	S2052ref_000000000003	1.6	S2052ref_000000000003_split_00011	11	362.44	216.73
