sample	contig	n_splits	contig_mean_cov	contig_median_cov	contig_std_cov	contig_cv	min_split_cov	max_split_cov	heterogeneous
S2052	S2052_000000000001	47	216.09	216.43	3.97	0.0184	204.01	223.43	False
S2052	S2052_000000000002	24	217.23	216.84	3.65	0.0168	208.43	225.96	False
S2052	S2052_000000000003	24	215.28	215.29	4.11	0.0191	206.96	222.05	False
S2052	S2052_000000000004	23	216.72	216.31	3.56	0.0164	209.07	224.6	False
S2052	S2052_000000000005	19	218.88	218.95	4.55	0.0208	209.1	227.33	False
S2052	S2052_000000000006	15	215.36	216.01	2.5	0.0116	210.39	219.87	False
S2052	S2052_000000000007	13	216.04	215.72	4.09	0.0189	208.66	223.9	False
S2052	S2052_000000000008	11	220.68	219.47	6.58	0.0298	214.52	238.95	False
S2052	S2052_000000000009	11	347.03	345.51	12.6	0.0363	327.29	365.46	False
S2052	S2052_000000000010	10	218.0	217.61	2.86	0.0131	214.62	222.4	False
S2052	S2052_000000000011	8	218.65	219.14	1.64	0.0075	216.26	220.49	False
S2052	S2052_000000000012	8	211.25	210.97	4.28	0.0203	204.11	217.13	False
S2052	S2052_000000000013	6	213.16	213.47	4.58	0.0215	205.19	217.76	False
S2052	S2052_000000000014	5	215.88	216.25	1.4	0.0065	213.55	216.98	False
S2052	S2052_000000000015	4	212.27	212.28	3.48	0.0164	207.99	216.51	False
S2052	S2052_000000000016	4	218.55	216.06	8.03	0.0367	211.98	230.09	False
S2052	S2052_000000000017	4	215.77	215.78	1.91	0.0088	213.44	218.09	False
S2052	S2052_000000000018	4	219.53	216.26	10.78	0.0491	210.6	235.0	False
S2052	S2052_000000000019	3	213.16	213.3	1.46	0.0068	211.64	214.54	False
S2052	S2052_000000000020	3	217.79	217.84	2.39	0.011	215.38	220.15	False
S2052	S2052_000000000021	3	219.17	218.95	4.61	0.0211	214.68	223.9	False
S2052	S2052_000000000022	2	216.75	216.75	2.37	0.0109	215.07	218.42	False
S2052	S2052_000000000023	2	217.02	217.02	9.19	0.0423	210.52	223.51	False
S2052	S2052_000000000024	2	216.77	216.77	1.33	0.0061	215.83	217.71	False
S2052	S2052_000000000025	2	213.2	213.2	0.12	0.0005	213.12	213.28	False
S2052	S2052_000000000026	1	219.36	219.36	0.0	0.0	219.36	219.36	False
S2052	S2052_000000000027	1	208.49	208.49	0.0	0.0	208.49	208.49	False
S2052	S2052_000000000028	1	206.06	206.06	0.0	0.0	206.06	206.06	False
S2052	S2052_000000000029	1	214.45	214.45	0.0	0.0	214.45	214.45	False
S2052	S2052_000000000030	1	209.43	209.43	0.0	0.0	209.43	209.43	False
S2052	S2052_000000000031	1	2163.68	2163.68	0.0	0.0	2163.68	2163.68	False
S2753	S2753_000000000001	73	226.6	226.25	4.06	0.0179	218.24	235.89	False
S2753	S2753_000000000002	30	227.18	227.12	3.4	0.0149	220.7	233.24	False
S2753	S2753_000000000003	22	226.98	227.74	4.48	0.0197	213.33	233.84	False
S2753	S2753_000000000004	17	227.77	227.6	4.89	0.0215	218.73	242.29	False
S2753	S2753_000000000005	16	236.97	237.77	3.47	0.0147	230.25	241.46	False
S2753	S2753_000000000006	15	228.16	228.14	3.1	0.0136	223.49	234.07	False
S2753	S2753_000000000007	14	225.37	224.87	3.33	0.0148	221.78	233.93	False
S2753	S2753_000000000008	13	226.88	227.41	3.54	0.0156	218.96	231.41	False
