sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
NZ_CP080277.1	1	106329	0.5462573709900403	f2034ad7f5fe73e364de2f3f18fb3e37	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-
NZ_CP080276.1	1	248209	0.5849707303119548	be8deb651d06bc8a4889471aa220c550	rep_cluster_377	001696__NC_023138_00003	-	-	-	-	-	-	non-mobilizable	CP010690	0.0151872	Phaeobacter piscinae	AC739	AM061	order	Rhodobacterales	order	Rhodobacterales	-	-	-
NZ_CP080279.1	1	68485	0.6357742571365993	3aa5a7eb6ab452d370c9a6d1186b41bc	rep_cluster_252,rep_cluster_735	001530__CP010865_00002,002212__CP002975_00001	-	-	-	-	-	-	non-mobilizable	CP010685	0.00985499	Phaeobacter piscinae	AA429	AI493	order	Rhodobacterales	order	Rhodobacterales	-	-	-
NZ_CP080278.1	1	80357	0.6184775439600781	bbb7c6200ff43cd6ab6f0ea56f7f52fc	rep_cluster_288	001593__CP016369_00002	-	-	-	-	-	-	non-mobilizable	CP010646	0.0146108	Phaeobacter piscinae	AB852	AK805	genus	Phaeobacter	genus	Phaeobacter	-	-	-
